correct_word,misspelling,error_type,source
Albert,Ab,deletion,birkbeck
America,Ameraca,substitution,birkbeck
America,Amercia,transposition,birkbeck
American,Ameracan,substitution,birkbeck
April,Apirl,transposition,birkbeck
Austrian,Austrain,transposition,birkbeck
Badcock's,badcock,deletion,birkbeck
Bechuanaland,bechuarnia land,insertion,birkbeck
Botswana,botuania,substitution,birkbeck
Cambridge,Cambrige,deletion,birkbeck
Canada,Canda,deletion,birkbeck
Chautauqua,Chactuquoe,substitution,birkbeck
Chautauqua,Chalktwa,deletion,birkbeck
Chautauqua,Chaqua,deletion,birkbeck
Chautauqua,Chata,deletion,birkbeck
Chautauqua,Chatacqua,deletion,birkbeck
Chautauqua,Chatacque,deletion,birkbeck
Chautauqua,Chatalkwa,deletion,birkbeck
Chautauqua,Chataqua,deletion,birkbeck
Chautauqua,Chataque,deletion,birkbeck
Chautauqua,Chataukowa,substitution,birkbeck
Chautauqua,Chataukwa,deletion,birkbeck
Chautauqua,Chatauwkwa,substitution,birkbeck
Chautauqua,Chateau,deletion,birkbeck
Chautauqua,Chatocqua,deletion,birkbeck
Chautauqua,Chatogua,deletion,birkbeck
Chautauqua,Chatoukouv,substitution,birkbeck
Chautauqua,Chattakqua,substitution,birkbeck
Chautauqua,Chatuaca,deletion,birkbeck
Chautauqua,Chatwakwa,deletion,birkbeck
Chautauqua,Chauetouequa,insertion,birkbeck
Chautauqua,Chauta,deletion,birkbeck
Chautauqua,Chautakye,deletion,birkbeck
Chautauqua,Chautaqua,deletion,birkbeck
Chautauqua,Chautauchua,insertion,birkbeck
Chautauqua,Chautiqua,deletion,birkbeck
Chautauqua,Chautogqwa,substitution,birkbeck
Chautauqua,Chautqua,deletion,birkbeck
Chautauqua,Chawtakque,substitution,birkbeck
Chautauqua,Chawtawque,substitution,birkbeck
Chautauqua,Cheautauqua,insertion,birkbeck
Chautauqua,Chetdacowa,substitution,birkbeck
Chautauqua,Chetoquoi,deletion,birkbeck
Chautauqua,Chicahwa,deletion,birkbeck
Chautauqua,Chictocua,deletion,birkbeck
Chautauqua,Chicugta,deletion,birkbeck
Chautauqua,Chistupa,deletion,birkbeck
Chautauqua,Chitacque,deletion,birkbeck
Chautauqua,Chitalka,deletion,birkbeck
Chautauqua,Chitalkwa,deletion,birkbeck
Chautauqua,Chitaqua,deletion,birkbeck
Chautauqua,Chitauqua,deletion,birkbeck
Chautauqua,Chitoqua,deletion,birkbeck
Chautauqua,Chittiqua,deletion,birkbeck
Chautauqua,Chochatta,deletion,birkbeck
Chautauqua,Chottago,deletion,birkbeck
Chautauqua,Chouativa,deletion,birkbeck
Chautauqua,Chtacu,deletion,birkbeck
Chautauqua,Chuatackqua,insertion,birkbeck
Chautauqua,Chuatuaque,substitution,birkbeck
Chautauqua,Chuatuaton,substitution,birkbeck
Chautauqua,Chutaciqwa,substitution,birkbeck
Chautauqua,Chutouko,deletion,birkbeck
Chautauqua,Cuhtawa,deletion,birkbeck
Chautauqua,Quatauqua,deletion,birkbeck
Chautauqua,Schtaka,deletion,birkbeck
Chautauqua,Shatacua,deletion,birkbeck
